loan_id,Predictions
19454,1.0
496811,1.0
929493,0.0
77085,0.0
422392,0.0
725653,0.0
100545,0.0
597342,0.0
484791,1.0
502241,0.0
519314,1.0
146962,0.0
402986,0.0
10860,1.0
870726,0.0
584158,1.0
781369,0.0
292037,1.0
989185,0.0
631318,1.0
80186,1.0
447947,0.0
177545,0.0
389908,0.0
1561,1.0
36348,0.0
261620,1.0
174451,0.0
407557,0.0
961739,0.0
42292,0.0
470250,0.0
960283,0.0
102858,0.0
999388,1.0
700389,0.0
306670,0.0
504096,0.0
388189,0.0
199147,1.0
319299,1.0
267742,1.0
779815,0.0
619509,0.0
379060,0.0
980510,0.0
816787,0.0
640752,0.0
456530,0.0
73737,0.0
997032,0.0
510631,0.0
851870,0.0
42905,0.0
241510,0.0
626213,0.0
82828,0.0
191638,1.0
498568,1.0
18409,1.0
826730,1.0
311173,0.0
635829,0.0
672083,0.0
273174,1.0
881940,0.0
431576,0.0
126302,0.0
58138,0.0
759205,0.0
980042,0.0
200293,1.0
667665,1.0
907431,0.0
224780,0.0
139441,0.0
859801,0.0
674390,0.0
561958,1.0
824325,0.0
591749,0.0
330384,1.0
84753,1.0
98212,1.0
862179,0.0
656553,0.0
311200,0.0
940286,0.0
256064,1.0
176172,0.0
962864,0.0
45229,0.0
60124,0.0
202610,0.0
573288,0.0
522623,0.0
488400,1.0
40352,1.0
996483,1.0
261833,1.0
936473,1.0
742389,0.0
85825,0.0
436630,1.0
910495,0.0
515539,0.0
706772,0.0
830027,1.0
396477,1.0
316368,0.0
278393,0.0
506619,0.0
903359,0.0
40045,1.0
98757,0.0
784141,0.0
384512,1.0
804703,0.0
833925,0.0
312214,1.0
71194,0.0
547230,0.0
526224,0.0
542203,0.0
132780,0.0
322569,1.0
552712,0.0
171072,1.0
746485,0.0
849599,0.0
494932,0.0
458291,0.0
546110,0.0
777489,1.0
474368,0.0
598765,1.0
991999,1.0
71304,1.0
325548,1.0
406699,0.0
330675,0.0
252227,0.0
877879,1.0
360311,1.0
833370,0.0
860606,1.0
970570,0.0
745792,0.0
208219,1.0
989062,1.0
187114,0.0
669888,0.0
744715,1.0
155501,0.0
621653,0.0
224492,1.0
722186,0.0
367599,0.0
11002,0.0
881899,0.0
487794,0.0
842778,1.0
111700,0.0
907779,0.0
674676,0.0
169056,0.0
602129,0.0
778908,0.0
500624,1.0
228310,1.0
156230,0.0
840369,0.0
213232,1.0
553272,1.0
776491,0.0
275825,1.0
713688,0.0
960518,0.0
557036,0.0
855594,1.0
885964,1.0
54487,0.0
475014,1.0
434568,1.0
659348,0.0
665815,0.0
355096,0.0
484236,0.0
795309,0.0
121326,0.0
830317,0.0
649144,0.0
976275,0.0
436160,0.0
685981,0.0
105350,0.0
343115,0.0
493369,0.0
89499,0.0
892042,1.0
500593,0.0
631278,0.0
604923,0.0
51763,0.0
611206,0.0
840944,0.0
315366,0.0
269111,1.0
486382,0.0
610407,0.0
301631,0.0
888568,0.0
273571,0.0
450437,0.0
81542,1.0
710276,0.0
315021,0.0
539747,1.0
875314,1.0
584319,0.0
506398,1.0
140684,0.0
121800,0.0
999202,1.0
115333,0.0
87368,1.0
988531,0.0
205483,1.0
38596,0.0
348169,0.0
938538,0.0
241989,1.0
552662,0.0
70752,1.0
339900,0.0
476548,1.0
441194,1.0
900624,1.0
907260,0.0
622575,0.0
403736,0.0
311305,0.0
232270,1.0
234856,1.0
740582,0.0
151269,0.0
415541,0.0
865652,0.0
959670,1.0
100386,1.0
529284,0.0
72531,0.0
374944,1.0
550688,0.0
442249,0.0
230774,0.0
552109,1.0
237648,1.0
506848,0.0
609997,0.0
786538,0.0
605248,0.0
720291,1.0
729735,0.0
975602,1.0
240812,1.0
544338,0.0
860562,0.0
159936,1.0
679866,1.0
342878,0.0
173469,1.0
681200,0.0
817053,1.0
3081,0.0
753685,1.0
839802,1.0
519527,0.0
198596,0.0
900122,1.0
483136,1.0
609792,0.0
931603,1.0
940587,0.0
319648,1.0
534770,0.0
652394,0.0
26757,1.0
984452,0.0
436193,1.0
326148,0.0
874416,1.0
893474,0.0
921027,1.0
443731,0.0
210067,0.0
434155,0.0
582821,0.0
914324,0.0
916477,0.0
790951,0.0
632046,0.0
354786,0.0
614978,0.0
432316,0.0
173107,0.0
712420,1.0
60479,1.0
189463,0.0
688548,0.0
